game_id,feature_set,feature_influence,fanova_setting,entity,explanation,feature_value,explanation/feature_value,random_seed,rho,n_instance,sample_size
0,"(1, 2, 3)",full,c,joint,4.07801447555102,1.0,4.07801447555102,0,0.0,1,512
0,"(0,)",full,c,interaction,2.047971320862157,1.0,2.047971320862157,0,0.0,1,512
0,"(1,)",full,c,interaction,2.049119723237886,1.0,2.049119723237886,0,0.0,1,512
0,"(2,)",full,c,interaction,2.047664484404608,1.0,2.047664484404608,0,0.0,1,512
0,"(3,)",full,c,interaction,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",full,c,interaction,-0.100827753907466,1.0,-0.100827753907466,0,0.0,1,512
0,"(1, 2, 3)",full,c,interaction,-0.3920650339052338,1.0,-0.3920650339052338,0,0.0,1,512
0,"(0,)",full,b,individual,1.973639254744735,1.0,1.973639254744735,0,0.0,1,512
0,"(1,)",full,b,individual,2.0081833701018925,1.0,2.0081833701018925,0,0.0,1,512
0,"(2,)",full,b,individual,2.00365450303218,1.0,2.00365450303218,0,0.0,1,512
0,"(3,)",full,b,individual,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",full,b,individual,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(1, 2, 3)",full,b,individual,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(0,)",full,b,joint,1.973639254744735,1.0,1.973639254744735,0,0.0,1,512
0,"(1,)",full,b,joint,2.0081833701018925,1.0,2.0081833701018925,0,0.0,1,512
0,"(2,)",full,b,joint,2.00365450303218,1.0,2.00365450303218,0,0.0,1,512
0,"(3,)",full,b,joint,0.0,1.0,0.0,0,0.0,1,512
0,"(1, 2)",full,b,joint,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(1, 2, 3)",full,b,joint,4.011837873134072,1.0,4.011837873134072,0,0.0,1,512
0,"(0,)",full,b,interaction,1.973639254744735,1.0,1.973639254744735,0,0.0,1,512
0,"(1,)",full,b,interaction,2.0081833701018925,1.0,2.0081833701018925,0,0.0,1,512
0,"(2,)",full,b,interaction,2.00365450303218,1.0,2.00365450303218,0,0.0,1,512
