Precision@10,Precision@5,KendallTau,KendallTau@10,KendallTau@50,SpearmanCorrelation,SpearmanCorrelation@10,SpearmanCorrelation@50,MSE,MAE,SSE,SAE,approximator,budget,image_name
1.0,1.0,0.017871017871017872,0.5111111111111111,0.09714285714285714,0.017353910457358734,0.4831062071098947,0.12818835548141136,0.001445578412523545,0.03093406082634167,0.20816329140339046,4.454504758993201,ShapleyGAX (400),25000,ILSVRC2012_val_00000242.JPEG
1.0,1.0,0.06798756798756798,0.5111111111111111,0.06612244897959184,0.09852905714974682,0.4612045503383917,0.09881675388552089,0.0014161162661165488,0.030657891993452265,0.20392074232078303,4.414736447057126,ShapleyGAX (600),25000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.014763014763014764,0.24444444444444444,-0.018775510204081632,0.017924604131500682,0.06465641121753081,-0.02205528964657218,0.0011927671293696662,0.02435727475157721,0.17175846662923194,3.507447564227118,PermutationSamplingSV,25000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.07206682206682206,0.4666666666666666,0.02530612244897959,0.10858853789888273,0.41175032446008225,0.03147653460128889,0.0061574524408062594,0.06137582390960063,0.8866731514761014,8.83811864298249,KernelSHAP,30000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.10198135198135198,0.5555555555555555,0.09387755102040816,0.148380355276907,0.5006622325876018,0.12387701676332259,0.0012980837100700926,0.028175654329071185,0.18692405425009334,4.057294223386251,ShapleyGAX (400),30000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.08391608391608392,0.5111111111111111,0.09224489795918367,0.1316654609758058,0.4612045503383917,0.1640065556795855,0.0012530132129469833,0.02747520594730397,0.1804339026643656,3.9564296564117716,ShapleyGAX (600),30000,ILSVRC2012_val_00000242.JPEG
0.9,1.0,0.06526806526806526,0.4666666666666666,0.18040816326530612,0.08981593119524153,0.43614526801714015,0.2405750171385737,0.0009879779539832506,0.022630717230048274,0.1422688253735881,3.2588232811269515,PermutationSamplingSV,30000,ILSVRC2012_val_00000242.JPEG
0.3,0.4,0.08760683760683761,0.37777777777777777,0.09387755102040816,0.12651716099991964,0.7358572906859255,0.1157311632483968,0.04727441968335279,0.17859831198370973,6.807516434402801,25.718156925654203,KernelSHAP,10000,ILSVRC2012_val_00000994.jpg
0.7,0.6,0.14044289044289043,0.06666666666666667,0.20326530612244897,0.19778956675508397,0.23291541639956764,0.2676033267963106,0.007955671633370104,0.07121161470847044,1.145616715205295,10.254472518019744,ShapleyGAX (400),10000,ILSVRC2012_val_00000994.jpg
0.6,0.8,0.049533799533799536,0.37777777777777777,0.18693877551020407,0.07182702355116148,0.7552101317504436,0.26776469078466475,0.008566761663904139,0.07470262737189974,1.233613679602196,10.757178341553562,ShapleyGAX (600),10000,ILSVRC2012_val_00000994.jpg
0.6,0.4,0.04895104895104895,-0.28888888888888886,0.09387755102040816,0.06897355518045174,-0.2606103083529557,0.13639413774341594,0.004845232653612686,0.05089429301962797,0.6977135021202268,7.328778194826429,PermutationSamplingSV,10000,ILSVRC2012_val_00000994.jpg
0.5,0.4,-0.006021756021756021,-0.4666666666666666,-0.038367346938775505,-0.0068724379069206665,-0.5525745414507051,-0.0773106416980189,0.02785345313103655,0.13160623567321927,4.010897250869263,18.951297936943575,KernelSHAP,15000,ILSVRC2012_val_00000994.jpg
0.7,0.8,0.032828282828282825,0.06666666666666667,-0.012244897959183673,0.05607668193875091,0.18553602902060115,-0.013654962176722182,0.0042958555836198915,0.05232785343007155,0.6186032040412643,7.535210893930303,ShapleyGAX (400),15000,ILSVRC2012_val_00000994.jpg
0.6,0.8,0.05225330225330225,0.3333333333333333,0.09387755102040816,0.0751105216622458,0.4795846008444717,0.06903777490251886,0.005198387519474504,0.05856931512523675,0.7485678028043286,8.433981378034092,ShapleyGAX (600),15000,ILSVRC2012_val_00000994.jpg
0.7,0.4,-0.000777000777000777,0.19999999999999998,-0.12489795918367345,0.0012257857085443292,0.3013840983937046,-0.1616369013496542,0.0031871576603786245,0.04113688981478049,0.45895070309452196,5.92371213332839,PermutationSamplingSV,15000,ILSVRC2012_val_00000994.jpg
0.6,0.6,0.04875679875679875,0.15555555555555553,0.18857142857142856,0.07019532191945985,0.25506354248100943,0.2586529188000493,0.02306978440929887,0.12650847474981924,3.322048954939037,18.217220363973972,KernelSHAP,20000,ILSVRC2012_val_00000994.jpg
0.7,0.8,0.07789432789432789,0.022222222222222223,0.08081632653061226,0.11315408729201834,0.1087296349144527,0.1477723355907157,0.004274063568356413,0.05271568511183014,0.6154651538433235,7.59105865610354,ShapleyGAX (400),20000,ILSVRC2012_val_00000994.jpg
0.7,0.8,0.09324009324009323,0.6,0.21959183673469387,0.14323607427055704,0.5599417377796565,0.2901416023396101,0.0043438944354972945,0.05321081144028903,0.6255207987116104,7.662356847401621,ShapleyGAX (600),20000,ILSVRC2012_val_00000994.jpg
0.7,0.6,0.05108780108780109,0.19999999999999998,0.09061224489795917,0.07979664014146773,0.10171684428795891,0.14870246743346774,0.0027116790652349353,0.03904294446220586,0.3904817853938307,5.622184002557644,PermutationSamplingSV,20000,ILSVRC2012_val_00000994.jpg
0.5,0.4,0.08080808080808081,0.15555555555555553,0.059591836734693884,0.12064946547705167,0.1750172107982192,0.09949635108023616,0.020598132716843097,0.11494715018914409,2.966131111225406,16.55238962723675,KernelSHAP,25000,ILSVRC2012_val_00000994.jpg
